"Story","Title","Result","Date","Stability","Duration (s)"
"Job requisition creation ICRC form","Create approve and decline ICRC job requisition","FAILURE","2024-04-16T02:18:52.0703553+08:00[Asia/Manila]","0.0","588.51"
"Job requisition creation ICRC form","Complete ICRC job requisition creation and approval","ERROR","2024-04-16T10:19:27.9949818+08:00[Asia/Manila]","0.0","128.22"
"Job requisition creation ICRC form","Create approve and close ICRC job requisition","ERROR","2024-04-16T10:32:34.192428+08:00[Asia/Manila]","0.0","467.07"
